RepRapFirmware height map file v2 generated at 2022-04-26 07:35, min error -0.081, max error 0.039, mean -0.021, deviation 0.034
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,15.00,315.00,20.00,300.00,-1.00,75.00,70.00,5,5
 -0.003, -0.071, -0.055, -0.001,  0.005
  0.001, -0.081, -0.055, -0.009,  0.004
  0.032, -0.066, -0.046, -0.018, -0.021
  0.039, -0.056, -0.036, -0.015, -0.016
  0.037, -0.059, -0.036, -0.004,  0.014
